file_name,cps_yr,p6_cohort,p8_cohort,p10_cohort,p7_cohort,p9_cohort,p11_cohort
MERGED2003_04_PP.csv,2014,96-97/97-98,,,,,
MERGED2005_06_PP.csv,2014,98-99/99-00,96-97/97-98,,,,
MERGED2007_08_PP.csv,2014,00-01/01-02,98-99/99-00,96-97/97-98,,,
MERGED2009_10_PP.csv,2014,02-03/03-04,00-01/01-02,98-99/99-00,,,
MERGED2011_12_PP.csv,2014,04-05/05-06,02-03/03-04,00-01/01-02,,,
MERGED2012_13_PP.csv,2015,05-06/06-07,03-04/04-05,01-02/02-03,,,
MERGED2013_14_PP.csv,2016,06-07/07-08,04-05/05-06,02-03/03-04,,,
MERGED2014_15_PP.csv,2017,07-08/08-09,05-06/06-07,03-04/04-05,,,
MERGED2018_19_PP.csv,2020,,,,10-11/11-12,08-09/09-10,06-07/07-08
MERGED2019_20_PP.csv,2021,,,,11-12/12-13,09-10/10-11,07-08/08-09
MERGED2020_21_PP.csv,2022,13-14/14-15,11-12/12-13,09-10/10-11,,,
Most-Recent-Cohorts-Institution.csv,2022,12-13/13-14,10-11/11-12,08-09/09-10,11-12/12-13,09-10/10-11,07-08/08-09
